causality_pair,x_variable,y_variable,best_lag,f_statistic,p_value,significant,lag_1_f_stat,lag_1_p_value,lag_2_f_stat,lag_2_p_value,lag_3_f_stat,lag_3_p_value,lag_4_f_stat,lag_4_p_value,lag_5_f_stat,lag_5_p_value
whale_volume_ma7 → exchange_outflow,whale_volume_ma7,exchange_outflow,1,49.34055665799104,2.659731031037027e-12,True,49.34055665799104,2.659731031037027e-12,25.16927220431093,1.4497972963625209e-11,17.875367345114842,1.7005446352565282e-11,11.500465644616842,2.8961149961655817e-09,9.047295697457532,1.509712420770393e-08
whale_volume_ma30 → exchange_outflow,whale_volume_ma30,exchange_outflow,1,49.21328050925841,2.834998551056643e-12,True,49.21328050925841,2.834998551056643e-12,24.310175441710513,3.374859148731579e-11,18.638369388189037,5.6389643147724426e-12,13.736579129665751,4.2188193942153285e-11,10.43910956458018,6.0299405102209e-10
net_flow_lag1 → exchange_inflow,net_flow_lag1,exchange_inflow,1,48.698128209114984,3.670758974599567e-12,True,48.698128209114984,3.670758974599567e-12,16.992990280197734,4.5942143337792165e-08,3.626708193128627,0.01249634493972359,4.145491530152917,0.0023727789286456685,4.369247317415988,0.0005773441529612066
whale_volume_lag3 → whale_volume_usd,whale_volume_lag3,whale_volume_usd,3,44.792551756763885,2.66375373550761e-28,True,0.006058490695380686,0.9379635367773954,1.0064831051882293,0.3656275871871133,44.792551756763885,2.66375373550761e-28,20.986888088854492,4.438131684730808e-17,21.037033295688897,1.0130980668503e-20
whale_volume_lag6 → whale_volume_lag3,whale_volume_lag6,whale_volume_lag3,3,44.76229153990817,2.781054599627594e-28,True,0.008470447084447491,0.926676446943695,0.9874002311779029,0.37266700880837156,44.76229153990817,2.781054599627594e-28,20.812133944145323,6.185215332322672e-17,21.108515627436535,8.566711437594173e-21
net_flow_lag6 → net_flow_lag1,net_flow_lag6,net_flow_lag1,5,37.22579954743165,4.043386378320078e-37,True,0.302953251046417,0.5820785113896338,0.11697206058617027,0.8896141725134598,0.5217413231727748,0.6673347360400304,0.28157220350030354,0.8900523052099417,37.22579954743165,4.043386378320078e-37
net_flow_lag1 → exchange_outflow,net_flow_lag1,exchange_outflow,1,28.37343635460709,1.0754053034443124e-07,True,28.37343635460709,1.0754053034443124e-07,13.82735334323936,1.0539504093690135e-06,10.297581099548557,9.655377134175187e-07,3.710384747265985,0.00511355336052791,2.031888685510829,0.07117263978366975
whale_activity → whale_volume_lag6,whale_activity,whale_volume_lag6,5,28.358488078402413,3.634650547800876e-28,True,0.008057078932074305,0.9284830406573462,0.13010158108399672,0.8780112733738462,1.2993432426268865,0.27290249708581127,2.875309485176951,0.021642328333402988,28.358488078402413,3.634650547800876e-28
whale_volume_lag6 → whale_volume_lag1,whale_volume_lag6,whale_volume_lag1,5,27.71391431930344,1.6382712448956006e-27,True,0.22303447915984506,0.636772346330597,2.835018173111206,0.05887739417403106,6.3652794982035905,0.0002685629979027854,5.8186216015969325,0.00011597942762966681,27.71391431930344,1.6382712448956006e-27
whale_volume_lag1 → exchange_inflow,whale_volume_lag1,exchange_inflow,1,21.273858617522066,4.150543134696638e-06,True,21.273858617522066,4.150543134696638e-06,11.88224923074159,7.248902495668428e-06,4.905358775870426,0.0021096336518115722,1.8949506151587001,0.10854875185733455,2.0974765228676557,0.06286443991178017
net_flow_lag3 → whale_volume_lag1,net_flow_lag3,whale_volume_lag1,2,20.08054926027731,2.1773981578667715e-09,True,26.075623848892498,3.491401209688227e-07,20.08054926027731,2.1773981578667715e-09,12.34262537555909,5.06360506154152e-08,9.585470508319755,1.064847013285652e-07,7.878019519485463,2.2167065620347576e-07
whale_volume_lag1 → net_flow_lag6,whale_volume_lag1,net_flow_lag6,2,17.818038400244326,2.0327076128531603e-08,True,10.267988719425755,0.0013679949063003815,17.818038400244326,2.0327076128531603e-08,12.054724392690703,7.671987955826721e-08,10.151625087011473,3.676433628791813e-08,8.241269837835178,9.642590706985238e-08
exchange_inflow → whale_volume_usd,exchange_inflow,whale_volume_usd,3,14.186192256791182,3.530910351718958e-09,True,1.3777462764705921,0.24058003684041415,9.706552340166242,6.284969488276261e-05,14.186192256791182,3.530910351718958e-09,11.273063235222345,4.4478484244685576e-09,9.65429504937122,3.715651105068185e-09
net_flow_lag3 → exchange_outflow,net_flow_lag3,exchange_outflow,3,13.70135484882918,7.1154571890339555e-09,True,2.3971349712542076,0.12166481487464935,0.7533164493124124,0.47089308244839234,13.70135484882918,7.1154571890339555e-09,6.310305046635309,4.710395769986147e-05,3.880832667317062,0.0016536647796808746
whale_volume_lag1 → exchange_outflow,whale_volume_lag1,exchange_outflow,2,13.419139324771091,1.579368168169387e-06,True,12.85358652621297,0.00034228679911579054,13.419139324771091,1.579368168169387e-06,7.049338680421552,0.00010151407355784061,1.9523606419652033,0.09911616866058401,1.944224020572767,0.08388058683710566
whale_volume_ma7 → whale_activity,whale_volume_ma7,whale_activity,3,12.905284956760033,2.2472513940074324e-08,True,23.300119380426224,1.456346838330387e-06,15.93245445696759,1.3113357734412054e-07,12.905284956760033,2.2472513940074324e-08,9.287739441720282,1.8611427898605032e-07,7.9490414447829485,1.8840916435724635e-07
net_flow_lag1 → whale_volume_usd,net_flow_lag1,whale_volume_usd,3,12.717309591873624,2.9480821742329785e-08,True,18.844717466688778,1.4656786297714215e-05,16.580721374962398,6.906265339512729e-08,12.717309591873624,2.9480821742329785e-08,9.969242100732748,5.1797924835220815e-08,7.804393872190405,2.6233847104412567e-07
exchange_inflow → whale_volume_ma30,exchange_inflow,whale_volume_ma30,2,10.904936975905677,1.9118826572515985e-05,True,1.2187087909532561,0.2697041182107195,10.904936975905677,1.9118826572515985e-05,5.529781657538312,0.0008762751022208081,4.937702115002096,0.0005745057173711112,4.650175015030111,0.00031304055125113285
whale_volume_ma30 → whale_activity,whale_volume_ma30,whale_activity,3,10.712379202655988,5.313699724804922e-07,True,15.575494458403067,8.112258829619751e-05,12.489910496484004,3.967619679101712e-06,10.712379202655988,5.313699724804922e-07,8.206926562081968,1.403944768786144e-06,6.704986366321472,3.2032475082057037e-06
